உடனே அவர் மடியில் ஏறி அமர்ந்துகொண்டு சமாதானப்படுத்த முயல்கிறது.	உட் உம் அவர் மடியில் ஏறி அமர்ந்துகொண்டு சமாதானப்படுத்த முயல்கின்றவள் .	3pln	3sgf	3	pl	n
உடனே அவர் மடியில் ஏறி அமர்ந்துகொண்டு சமாதானப்படுத்த முயல்கிறது.	உட் உம் அவர் மடியில் ஏறி அமர்ந்துகொண்டு சமாதானப்படுத்த முயல்கின்றவார் .	3pln	3sghe	3	pl	n
உடனே அவர் மடியில் ஏறி அமர்ந்துகொண்டு சமாதானப்படுத்த முயல்கிறது.	உட் உம் அவர் மடியில் ஏறி அமர்ந்துகொண்டு சமாதானப்படுத்த முயல்கின்றவன் .	3pln	3sgm	3	pl	n
அரசியல் பிரமுகர்கள் மற்றும் பொதுமக்கள் அன்னாரின் பூதவுடலுக்கு அஞ்சலி செலுத்தினர்.	அரசியல் பிரமுகர்கள் மற்றும் பொதுமக்கள் அன்னாரின் பூதவுடலுக்கு அஞ்சலி செலுத்தினோம் .	3sge	1pl	3	sg	e
அரசியல் பிரமுகர்கள் மற்றும் பொதுமக்கள் அன்னாரின் பூதவுடலுக்கு அஞ்சலி செலுத்தினர்.	அரசியல் பிரமுகர்கள் மற்றும் பொதுமக்கள் அன்னாரின் பூதவுடலுக்கு அஞ்சலி செலுத்தினீர்கள் .	3sge	2pl	3	sg	e
அரசியல் பிரமுகர்கள் மற்றும் பொதுமக்கள் அன்னாரின் பூதவுடலுக்கு அஞ்சலி செலுத்தினர்.	அரசியல் பிரமுகர்கள் மற்றும் பொதுமக்கள் அன்னாரின் பூதவுடலுக்கு அஞ்சலி செலுத்தினார்கள் .	3sge	3ple	3	sg	e
அரசியல் பிரமுகர்கள் மற்றும் பொதுமக்கள் அன்னாரின் பூதவுடலுக்கு அஞ்சலி செலுத்தினர்.	அரசியல் பிரமுகர்கள் மற்றும் பொதுமக்கள் அன்னாரின் பூதவுடலுக்கு அஞ்சலி செலுத்தினன .	3sge	3pln	3	sg	e
அரசியல் பிரமுகர்கள் மற்றும் பொதுமக்கள் அன்னாரின் பூதவுடலுக்கு அஞ்சலி செலுத்தினர்.	அரசியல் பிரமுகர்கள் மற்றும் பொதுமக்கள் அன்னாரின் பூதவுடலுக்கு அஞ்சலி செலுத்தினன் .	3sge	1sg	3	sg	e
அரசியல் பிரமுகர்கள் மற்றும் பொதுமக்கள் அன்னாரின் பூதவுடலுக்கு அஞ்சலி செலுத்தினர்.	அரசியல் பிரமுகர்கள் மற்றும் பொதுமக்கள் அன்னாரின் பூதவுடலுக்கு அஞ்சலி செலுத்தின்றேன் .	3sge	1sg	3	sg	e
அரசியல் பிரமுகர்கள் மற்றும் பொதுமக்கள் அன்னாரின் பூதவுடலுக்கு அஞ்சலி செலுத்தினர்.	அரசியல் பிரமுகர்கள் மற்றும் பொதுமக்கள் அன்னாரின் பூதவுடலுக்கு அஞ்சலி செலுத்தின்றன் .	3sge	1sg	3	sg	e
அரசியல் பிரமுகர்கள் மற்றும் பொதுமக்கள் அன்னாரின் பூதவுடலுக்கு அஞ்சலி செலுத்தினர்.	அரசியல் பிரமுகர்கள் மற்றும் பொதுமக்கள் அன்னாரின் பூதவுடலுக்கு அஞ்சலி செலுத்தினாய் .	3sge	2sg	3	sg	e
அரசியல் பிரமுகர்கள் மற்றும் பொதுமக்கள் அன்னாரின் பூதவுடலுக்கு அஞ்சலி செலுத்தினர்.	அரசியல் பிரமுகர்கள் மற்றும் பொதுமக்கள் அன்னாரின் பூதவுடலுக்கு அஞ்சலி செலுத்தினீர் .	3sge	2sgh	3	sg	e
